,Unnamed: 0,Unnamed: 0.1,_merge,anios_de_experiencia,cambio_de_residencia,cantidad_de_vacantes,date,departamento,descripcion,disponibilidad_viajes,edad,educacion_minima,empresa,fecha_online,idiomas,jornada,licencia_conducir,localidad,puesto,rama_de_actividad,salario,sexo,tamanio_empresa,tipo_de_contrato,url_oferta
0,0,0.0,,, No,,2/17/2020,,"Recepcion, clasificacion y reparto de la mensajeria.Minimo 6 meses de experiencia.Radicar en Playa del CarmenLicencia de motociclista.Ofrecemos:Sueldo basePrestaciones de leyUniformeServicio de comedor.", No, entre 18 y 25 anos, Educacion media superior -Bachillerato General,LAS HELODIAS,13 enero,,Contrato por tiempo indeterminado,,Quintana Roo,vendedor de mostrador turno vespertino en plaza cuautitlan - a cinco min del suburbano cuautitlan,Venta al consumidor,,,51-200 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-mensajero-administrativo-en-solidaridad-563809BBB12AD92A61373E686DCF3405
1,1,1.0,,1.0, No,,2/17/2020,,"Grupo AB, Socio Comercial de MetLife la aseguradora #1 a nivel mundial estamos buscamos personas dinamicas, activas, acostumbradas a trabajar bajo objetivos, comisiones y en campo.Ofrecemos: Capacitacion constante, contamos con el mejor plan de carrera e ingresos superiores al promedio; bonos, incentivos, convenciones nacionales e internacionales; horario flexible apoyo economico garantizado durante la fase de capacitacion.Requisitos:Sexo indistintoEdad de 25 a 45 anosFacilidad de palabra, estudios minimos: bachillerato comprobable (certificado original), experiencia en venta de campo de preferencia servicios financieros (Seguros, Afores, Creditos, Hipotecas).", No, entre 22 y 55 anos, Educacion media superior -Bachillerato General,Metlife,14 febrero,,Otro tipo de contrato,,Veracruz,Ayudante de almacen para Lerma - Experiencia mínima de 6 meses,Servicios Profesionales,,,"501-1,000 trabajadores",Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-agente-de-seguros-en-boca-del-rio-439A4F225290066F61373E686DCF3405
2,2,2.0,,1.0, No,,2/17/2020,,"Evolucione, expertos vinculando talentos con los mejores puestosImportante empresa lider en su ramo te invita a formar parte de su equipo de trabajo como:Promotor de AutoservicioRequisitos:Edad: 18  40 anosEscolaridad: Secundaria terminada  Experiencia: 6 meses en el puesto   Conocimientos: Reportes diarios, plano gramas, inventarios, acomodo de mercancia Habilidades: N/A Sueldo mensual: $7000 brutos  + bonificaciones atractivasTipo de prestaciones: Prestaciones de leyContacto:Guillermo Gandara Sanchez ggandara @ evolucione.netEste servicio es gratuito, sin discriminacion o distincion por ningun motivo. No trabajaras mas alla de cien kilometros.Registro: STPS-ACT-CGP21-00032", Si, entre 18 y 40 anos, Educacion secundaria,Evolucione,13 febrero,,Contrato por tiempo indeterminado, A ,Baja California,Reclutador - Reclutador,RRHH / Personal,"$ 7.000,00 (Mensual)",,"501-1,000 trabajadores",Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-promotor-de-autoservicio-en-tijuana-731D04575C1D944A61373E686DCF3405
3,3,3.0,,4.0, No,,2/17/2020,,"Si buscas un nuevo reto donde puedas desarrollarte, existe una oportunidad para ti.Salud Digna solicita: Tecnico RadiologoTe gusta la atencion y servicio al paciente?, cuentas con experiencia en la elaboracion de historial y expediente del paciente, rayos x, y mastografia?Requisitos:Escolaridad: Tecnico Radiologo (Indispensable contar con titulo y cedula, no en proceso).Buena presentacionFacilidad de palabraDisponibilidad de horarioCompetencias y habilidades:DinamicoOrientado al servicioEnfocado a resultadosOfrecemos: Prestaciones de Ley + Uniformes gratuitos + Seguro de Vida + Caja de Ahorro + 50% de descuento en servicios para familiares directos", No, entre 22 y 45 anos, Educacion media superior - Bachillerato Tecnologico,"Salud Digna Para Todos, I.A.P.",14 febrero,,Contrato por tiempo indeterminado,,Campeche,Vendedoras Vip para Plaza Altabrisa - Secundaria,Salud / Medicina,"$ 9.000,00 (Mensual)",,"501-1,000 trabajadores",Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-en-radiologia-en-campeche-B86392BCA23A353E61373E686DCF3405
4,4,4.0,,2.0, No,,2/17/2020,,"Empresa dedicada a la fabricacion de globos metalicos.FuncionesCompras generalesRequisitos:Licenciatura concluida en administracion de empresas, ingenieria industrial o afin. Experiencia minimo 2 anos y medio en puesto similar. Ingles intermedio - avanzadoManejo de excel intermedioSAP (modulo compras)Ofrecemos$17,000 menos impuestosPrestaciones de ley.Horario de 9 a 6 de lunes a viernes y un sabado de cada mes de 9 a 12:30Zona de trabajo Rio la barca (por parque Gonzalez Gallo)", No, A partir de 25 anos, Educacion superior - Licenciatura,GENTEX,12 febrero," Ingles , ",Contrato por tiempo indeterminado,,Jalisco,Se solicita Gerente de Ventas en Sucursal  - Paseo Gomez Palacios / Durango ,RRHH / Personal,"$ 17.000,00 (Mensual)",,51-200 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-comprador-urgente-parque-gonzalez-gallo-en-guadalajara-5076B8381636122461373E686DCF3405
5,5,5.0,,1.0, No,,2/17/2020,,"Empresa de giro Restaurantero con presencia en el noroeste del pais con 24 sucursales, tiene un lugar para ti.ESTA EN BUSQUEDA DE SUBGERENTE DE SUCURSALsi has tenido experiencia en el GIRO esta puede ser tu oportunidad ActividadesAtencion al clienteManejo de inventariosManejo de cortes de cajaPreparacion de alimentosAtencion a proveedoresManejo de personalOfrecemosSueldo semanal $2100Prestaciones de leyUn consumo diarioEstabilidad laboralOportunidad de crecimientoCapacitaron constanteBuen ambiente laboral", Si, entre 26 y 40 anos, Educacion superior - Licenciatura,Bamboo Express,12 febrero,,Contrato por tiempo indeterminado,,Sonora,Estibador - Agencia Tultitlán,Venta al consumidor,"$ 9.000,00 (Mensual)",,201-500 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-encargado-comida-rapida-en-hermosillo-5517F08E5E0A0BC961373E686DCF3405
6,6,6.0,,1.0, No,,2/17/2020,,"Porque queremos lo mejor para ti, Grupo Salinas es tu mejor opcion!*** Promotor de Servicios Bancarios ***Solicitamos personal para:-Promocion de producto-Atencion a clientes-VentasRequisitos:- Bachillerato concluido con certificado en original.- Cumplimiento de objetivos.- Experiencia de 1 ano en ventas.- Excelente actitud de servicio.Ofrecemos:-Pago semanal-Excelentes comisiones-Prestaciones de ley-Beneficios Grupo SalinasPostulate por este medio o envia WhatsApp al numero que aparece en la publicacion en atencion a Lic. Raul Islas!", No,, Educacion media superior -Bachillerato General,BANCO AZTECA,11 febrero,,Contrato por tiempo indeterminado,,Estado de México,Ejecutivo de ventas telefonicas con sueldo base - Para labora 5 horas diarias/ turno vespertino,Finanzas / Banca,,,"Más de 1,000 trabajadores",Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-grupo-salinas-solicita--promotor-de-servicios-bancarios-en-zumpango-60F91D278434858661373E686DCF3405
7,7,7.0,,2.0, No,,2/17/2020,,"Ayudantes Generales/  Ambos sexos / Rol de TurnosREQUISITOS:Edad: 18 a 50 anosEscolaridad: Secundaria Vivir cerca de la zona de Atizapan de ZaragozaDisponibilidad para rolar turnos y trabajar tiempo extra ACTIVIDADES A REALIZAR:ManualidadesPegarArmarRecibir productoAmarrarEstibarMantener orden y limpieza en el area de trabajoOFRECEMOS:$4, 588.00Prestaciones de ley ComedorVales de despensaCaja de ahorroPremio de puntualidad18 dias de aguinaldo8 dias de vacaciones60 % prima vacacionalInteresados presentarse en Lago Azul # 15 Col Higuera. Atizapan de Zaragoza. CP. 52940Tel 58 24 51 50 Ext. 1106 Horario de entrevista: 9:00 a 12:30 y 15:00 a 17:30 hrs. Presentar solicitud de empleo e identificacion y toda su documentacion oficial en copia.", No, entre 18 y 50 anos, Educacion secundaria,Industrias Corrubox SA de CV,12 febrero,,Contrato por tiempo indeterminado,,Estado de México,Becario de producción turno matutino  - Zona El salto ,Fabricación,"$ 4.588,00 (Mensual)",,201-500 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-ayudantes-generales-rol-de-turnos-atizapan-de-zaragoza-en-atizapan-de-zaragoza-D52F44E8E3C4B91261373E686DCF3405
8,8,8.0,,1.0, No,,2/17/2020,,"Empresa en crecimiento esta buscando tu talento, si tienes gusto por las ventas es tu oportunidad. Forma parte de una empresa lider en el sector. Estamos buscando:***EJECUTIVO DE VENTAS CORPORATIVAS****COMISIONES + BONOS + PAGO SEMANAL + PREMIOS + INCENTIVOSCONTRATACION INMEDIATA!!!Experiencia en:Minima de seis meses en ventas, venta de seguros, afores, autos, Telemarketing, modulos, promotor.Bachillerato concluidoOFRECEMOS:	Pago semanal y puntual	Excelentes comisiones sin tope	Incentivos por venta en efectivo	Capacitacion pagada	Atractivos bonos semanales, premios	Ganancias semanales	Excelente ambiente laboral y flexibilidad de horarios	Oportunidad de crecimiento POSTULATE POR ESTE MEDIO", No, entre 25 y 65 anos, Educacion media superior -Bachillerato General,GAYOSSO,"Ayer, 11:04 p. m.",,Contrato por tiempo indeterminado,,Ciudad de México DF,encargado de sucursal  - oxkutzcab ,Venta al consumidor,"$ 14.000,00 (Mensual)",,"Más de 1,000 trabajadores",Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivo-de-ventas-corporativas-sur-cdmx-en-la-magdalena-contreras-B33F0EF3F1819C0961373E686DCF3405
9,9,9.0,,, No,,2/17/2020,,"EJECUTIVO DE VENTAS CORPORATIVAS/ COMISIONES SIN TOPEEMPRESA LIDER EN SU RAMO, SOLICITA PERSONAL PARA EL AREA DE VENTAS.VEN CON NOSOTROS Y SE PARTE DE UNA DE LAS MEJORES EMPRESAS EN DONDE SE TE PREMIA DIA CON DIA TU LABOR!!!REQUISITOS:	BACHILLERATO	EXPERIENCIA MINIMA DE 6 MESES A UN ANO EN VENTAS	CAPACIDAD DE NEGOCIACION	GUSTO POR LOS RETOS Y EL TRATO CON LA GENTEOFRECEMOS:	COMISIONES SIN TOPE	INGRESOS SUPERIORES A 25,000	PAGOS SEMANALES	PRESTACIONES DE LEY Y SUPERIORES	EXCELENTE AMBIENTE DE TRABAJO	ESTABILIDAD LABORAL	CAPACITACION CONSTANTE	BONOS POR PRODUCTIVIDAD	PREMIOS E INCENTIVOS POR TU ESFUERZO 	SEGURO DE GASTOS MEDICOS 	SEGURO DE VIDA HORARIO LABORAL LUNES A VIERNES DE TIEMPO COMPLETO Y SABADO MEDIO DIASI ESTAS INTERESADO SOLO DEBES POSTULARTE POR ESTE MEDIO Y EN BREVEDAD NOS PONDREMOS EN CONTACTO CONTIGO", No, A partir de 25 anos, Educacion media superior -Bachillerato General,GAYOSSO,15 febrero,,Contrato por tiempo indeterminado,,Ciudad de México DF,Supervisor de Seguridad - con almenos dos años de experiencia,Venta al consumidor,"$ 15.000,00 (Mensual)",,"Más de 1,000 trabajadores",Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivo-de-ventas-trabaja-en-el-corporativopagos-semanales-en-coyoacan-A766587AAC60745661373E686DCF3405
